date,content,subject,summary
"Fri,  2 Dec 2022 08:05:02 +0000","Découvrez nos ventes privées sur le vin

C'est votre jour de chance ! 😏

Ils s'appellent Sancerre bio, Saint-Émilion, ou encore Les Darons. Ils viennent d’un peu partout en 🇫🇷 et sont en ce moment à prix réduit. 🤩

Découvrez-les de plus près ! 🍇

On commence par le vin blanc avec notre Sancerre Fleuriet & Fils en 100% sauvignon, sa robe est jaune pâle et ses arômes évoquent le pamplemousse ainsi que les fleurs blanches.

Pour le vin rouge, vous avez le choix entre un Saint-Émilion grand cru 2012 AOP au bel équilibre et un superbe magnum Les Darons (en AOP également) au nez fruité et puissant en bouche à 12,80€ SEULEMENT !! 🔥
",On vous sert un petit verre ? 🍷?,"Une newsletter de Frichti concernant une vente privée de vin. On peut y acheter du Sancerre bio, Saint-Émilion, ou encore Les Darons."
"Mon, 26 Dec 2022 17:04:43 +0000","Pas besoin de rajouter un couvert. Sortez juste les coupes.

On vient mettre des bulles dans votre vie.
Ou du moins pour les fêtes 🍾

Pour cela on vous propose un champagne réalisé à partir des meilleurs crus champenois : le Champagne Nicolas Feuillatte. Et plus spécialement :

La Grande Réserve Brut : des notes de fruits jaunes (mirabelle, compote de pomme, figue et abricot sec) qui s’offrent dans une onctuosité de bouche très gourmande.

La Cuvée Spéciale Millésimée : appréciée pour la fraîcheur des agrumes (clémentine et pamplemousse), puis la tension qui éclate en bouche grâce à des notes d’orgeat et d’angélique.

Deux cuvées qui s'associeront parfaitement à vos fêtes ! Bon réveillon 🥂
",Nicolas Feuillatte s'invite à vos réveillons !?,"Une newsletter de Frichti concernant le champagne Nicolas Feuillatte. Ils proposent deux cuvées, une brut avec des notes de fruits jaunes et une cuvée spéciale millésimée avec des agrumes"
"Sat, 17 Dec 2022 09:00:11 +0000","En voilà un bon programme !

La semaine commence sous le signe du fromage !

Voici des pommes de terre grenaille (à éplucher ou pas vaste débat), de la rosette, des tranches de jambon tranché (miam), mais aussi des raclettes tranchées nature AOP, fumées AOP, ou à la truffe !

Plus qu'à sortir les cornichons ! La base.
Et inviter vos proches à dîner. La base aussi.
Et découvrez aussi pleins d'autres produits dans notre catégorie Monoprix, pour une raclette bien réussie !
C'est parti ! 

Raclette tranchée à l'ail des ours
Beillevaire
",Samedi raclette !?,Une newsletter de Frichti concernant les produits qu'on peut trouver chez Monoprix pour préparer une raclette.
"Mon,  2 Jan 2023 09:18:16 +0000","Et bonne année !

Bonne année et bon goûter ! 🥳

De retour au bureau ? Alors, pourquoi ne pas se laisser tenter par un goûter entre collègues pour fêter la nouvelle année ! Et ça tombe bien parce qu’on a tout ce qu’il vous faut chez Frichti. 💪

Selon nous, une pause goûter réussie c’est :
1. Beaucoup de jus Frichti Everyday pour rester hydraté mais surtout parce qu’ils sont DÉ-LI-CIEUX et plein de vitamines. ⚡
2. Des snacks à gogo : petites galettes au beurre, cookies clusters au chocolat au lait complètement addictifs ou encore notre fameux banana cake !
3. Des collègues pour partager toutes ces bonnes choses ensemble et bien commencer 2023. 💛

À vos commandes ! 

",Découvrez nos pépites pour le goûter 🍰?,"Une newsletter de Frichti concernant leurs produits pour le goûter entre collègues, avec un code promo à utiliser."
"Tue, 25 Oct 2022 18:01:03 +0000","15€ offerts sur les ventes The Bradery ! 🛍

Pas si terrible d’aller bosser 😋

Frichti c’est les bons petits plats garantis le midi et The Bradery votre allié pour un style de foliiie !

De quoi avoir envie de faire un tour au bureau finalement 🔥

Pour ceux qui ne connaissent pas (encore) The Bradery c’est tout simplement notre appli coup de cœur pour shopper des pièces super chouettes à des prix super doux !
Du coup on s’est dit que vous seriez content d’avoir 15€ offerts* sur votre première commande !

Inscrivez-vous viiiiite à votre première vente👇

✨ Vous aimez Fursac et Claudie Pierlot ? Ça tombe bien parce qu’on vous a aussi trouvé des accès en avant première pour les ventes ✨

🗓 Rendez-vous sur l’app The Bradery demain à 8h pour profiter de réductions allant jusqu’à -55% sur la vente Fursac* et ce dimanche à 9h pour profiter de la vente Claudie Pierlot jusqu’à -70%",💖 Frichti x The Bradery?,"Une newsletter de Frichti concernant une promotion qu'ils font avec The Bradery, où les lecteurs peuvent obtenir 15€ de réduction sur leur première commande. The Bradery est une application d'achat en"
"Tue, 25 Oct 2022 17:45:03 +0000","15€ offerts sur les ventes The Bradery ! 🛍

Pas si terrible d’aller bosser 😋

Frichti c’est les bons petits plats garantis le midi et The Bradery votre allié pour un style de foliiie !

De quoi avoir envie de faire un tour au bureau finalement 🔥

Pour ceux qui ne connaissent pas (encore) The Bradery c’est tout simplement notre appli coup de cœur pour shopper des pièces super chouettes à des prix super doux !
Du coup on s’est dit que vous seriez content d’avoir 15€ offerts* sur votre première commande !

Inscrivez-vous viiiiite à votre première vente 👇

✨ Vous aimez Fursac et Claudie Pierlot ? Ça tombe bien parce qu’on vous a aussi trouvé des accès en avant première pour les ventes ✨

🗓 Rendez-vous sur l’app The Bradery ce jeudi à 8h pour profiter de réductions allant jusqu’à -55% sur la vente Fursac",💖 Frichti x The Bradery?,"Une newsletter de Frichti concernant une promotion avec The Bradery, où les utilisateurs peuvent obtenir 15€ de réduction sur leur première commande. Il y a également un accès en avant-prem"
"Mon,  5 Dec 2022 07:45:10 +0000","C'est complètement fou. Et pourtant bien vrai.

Où sont les caviar lovers ? 😍

Chez Frichti on aime bien parler de caviar.
Surtout pendant les ventes privées de Noël et qu'il s'agit d'une exclue.

Le caviar Beluga est issu de l’esturgeon Huso Huso. Élevé au milieu d’un lac de retenu alimenté par la fonte des neiges, cet espèce d'esturgeon peut atteindre plus de 100 kilos à 20 ans. 😱
Son grain est le plus gros de tous les caviars. Son goût est puissant et la texture des grains est crémeuse. Sa couleur varie dans une nuance de gris clair.

Et à ce prix, c'est pas du luxe. (31,50€* au lieu de 46€99 🙄)

🚨 RDV CE MATIN À 9H ! 🚨
3, 2, 1 JE FONCE ! 

Caviar Beluga, 10g
",Ventes privées : Caviar Beluga en exclusivité ! 🖤?,"Une newsletter de Frichti concernant une vente privée de caviar Beluga. Le caviar est issu de l'esturgeon Huso Huso, peut peser jusqu'à 100 kilos, a une couleur gris clair,"
"Wed, 21 Dec 2022 07:36:13 +0000","

Découvrez notre menu… 📜

1. Allez, on commence en beauté par le saumon d’Écosse gravlax & ses baies roses : un classique de Noël dont on ne se lasse pas et qui fait toujours son petit effet. 🤩

2. Ensuite, craquez sur le magret de canard avec un écrasé de pommes de terre et son confit d'oignons. Un plat généreux et goûtu dont vous n’allez faire qu’une bouchée ! 💛

3. Si vous avez encore un peu de place, testez donc l’indémodable Mont Blanc : une chantilly aérienne au marron avec un coeur à la crème de marron surmonté d'éclats de meringue maison. ✨
",Prêts pour le grand jour ? 🎅?,"Une newsletter de Frichti concernant le menu spécial de Noël. Il y a trois plats au menu: le saumon d'Écosse gravlax, le magret de canard et le Mont Blanc."
"Sun, 21 Aug 2022 15:49:36 +0000","On a une solution toute trouvée pour vous ! 

S.O.S frigo vide !

Dans les backstages d’un moment de loose.

De retour d’un week-end, ou de vacances.
Vous ouvrez cette porte blanche, parfois colorée.
La lumière s’allume, vos yeux s'illuminent, et là c’est le drame.

C’est vide, c’est triste, vous pleurez.
Heureusement votre téléphone est allumé, le jaune Frichti aveugle votre frigo.
Puis vous vous souvenez, dans 15min, vous serez livré et le cauchemar sera terminé.
Séchez vos larmes, c’est 20€ offerts sur votre 1ère commande avec le code* :
RENCONTRE20
Alors, qu’est-ce que vous attendez pour commander ?
",Frigo vide ? Prenez les choses en main 🛒?,Une newsletter de Frichti concernant un code promotionnel de 20€.
"Fri,  2 Sep 2022 16:09:39 +0000","Découvrez nos kits recettes exclusifs ! 

À VOS MARQUES, PRÊTS, MANGEZ ! 🥢

À l’occasion du Singapour Food Festival, du 1er au 11 septembre, Frichti et Singapour Tourisme s’associent pour vous faire découvrir 5 kits de recettes singapouriennes ! 🔥

Vous êtes plutôt :

Classique ? On vous conseille le Singapore Fried Hokkien Noodles assurément addictif avec ses deux sortes de nouilles et son mélange terre mer. Vous pouvez aussi craquer pour le Chicken Rice avec son riz cuit dans un bouillon parfumé, son poulet juteux et sa sauce enivrante ! 🤩

Veggie ? Le Veggie Nasi Goreng saura vous séduire en associant un riz frit parfumé au gingembre et un oeuf au plat ! 😍

Authentique ? Testez donc la Laksa soup aux crevettes, une délicieuse soupe ultraaa savoureuse au lait de coco, citronnelle et nouilles de riz ou le Kaya Muffin qui renferme la pâte à tartiner star de Singapour à base de lait de coco et de pandan ! 😏

La cerise sur le gâteau ? Frichti vous fait gagner 2 billets d’avion pour Singapour* : on a glissé dans l’un des kits recettes exclusifs un ticket d’or ! Il vous suffit d'acheter l'un de ces kits pour tenter de le remporter ! 🎟
",On vous emmène au SINGAPOUR FOOD FESTIVAL 🤤?,"Une newsletter de Frichti concernant les kits de recettes singapouriennes en promotion pour le Singapour Food Festival, avec un concours pour gagner des billets d'avion."
